num_surf_samples,err_gp_lam40,err_gp_lam100,err_softmin_knn10%,err_softmin_knn100,err_softmin_knn10
1000,0.09929204,0.052522686,0.0312286,0.031228646,0.00260828
900,0.09929162,0.052521234,0.0312295,0.0350198537,0.00313396
800,0.09929105,0.05251888,0.0312305,0.0392869014,0.00384142
700,0.09929025,0.0525147591,0.0312319,0.043937288,0.0048262656
600,0.099289018,0.0525068,0.03123377,0.04870333,0.0062562713986
500,0.099286833,0.05248936,0.0312364236,0.0530541413,0.008447273164
400,0.0992862114,0.0524443553,0.0312405222,0.0562711963,0.0120459330401
300,0.0992681278,0.052298319438,0.0312475147,0.0579888670,0.0185086752
200,0.09919795227,0.0516463288,0.0312627036,0.0587405116,0.0312627036
100,0.0982035478,0.0476690376,0.031316976,0.05920587182,0.05311805596
50,0.0913391141,0.041095153799,0.0314714243,0.059339815974,0.0586241308
40,0.0869329,0.0389599817,0.031581274,0.05943088864,0.0590157531
30,0.080351945,0.036224714,0.03185828,0.059651535,0.059458940125
20,0.0706821969,0.03234564595,0.03304275,0.0606160024,0.06061559715
10,0.05755258,0.0443497984,0.0557586,0.0776468758,0.077588331
